PERMCO,GVKEY,companyid,score,preferred,duplicate
5,016671,2917,1,1,0
7,001690,2355,1,1,0
23,011153,141957,9,1,0
24,001402,1764,10,1,0
25,001619,2116,2,1,0
29,001663,2230,1,1,0
33,003505,7847,1,1,0
35,001259,1362,3,1,0
37,001094,631,3,1,0
43,016609,2575464,6,1,0
59,001121,751,1,1,0
61,001164,33727,6,1,0
65,001117,26018,2,1,0
82,001554,1924,2,1,0
90,001447,1815,1,1,0
92,001449,1017,1,1,0
100,001020,1679784,4,1,0
109,001021,1019,5,1,0
116,001837,1069,2,1,0
121,001468,1833,1,1,0
132,001236,1283,8,1,0
137,001487,1856,1,1,0
153,001266,1383,1,1,0
157,001254,1349,1,1,1
157,001254,1830202,5,0,1
162,001331,1600,6,1,0
168,016633,1498,9,1,0
173,001633,2146,1,1,0
176,001050,6149,2,1,0
184,012088,1647,6,1,0
194,001704,2382,1,1,0
205,001360,27619,6,1,0
211,001161,881,1,1,0
216,001602,2068,1,1,0
217,001470,1992178,9,1,0
238,001611,2095,3,1,0
249,001500,1144079,6,1,0
250,007799,21659,1,1,1
250,007799,1651568,1,1,1
261,001526,1888,3,1,0
265,001627,68555,6,1,0
270,001641,2175,1,1,0
272,001651,2186,1,1,0
275,001635,2155,1,1,0
282,001632,2145,1,1,0
283,001634,2148,1,1,0
297,012075,1455,1,1,0
301,006809,7408,1,1,0
302,007261,1284179,9,1,0
317,001686,2331,1,1,0
323,001706,729,1,1,0
326,001718,887,6,1,0
332,001728,2507,1,1,0
336,001056,967,1,1,0
352,001712,2447,2,1,0
357,001783,2660,2,1,0
362,011842,2817,1,1,0
370,001104,656,1,1,0
376,001173,973,1,1,0
377,001797,2788,9,0,1
377,185323,2052610,1,1,1
392,001234,2975,1,1,0
397,001823,2864,1,1,0
398,002595,5470,1,1,0
403,001860,2993,1,1,0
407,001884,9159,5,1,0
418,001496,1869,1,1,1
418,001496,1587329,6,0,1
421,001906,3184,2,1,0
430,001926,3344,2,1,0
436,013853,3446,3,1,0
469,002312,26429,1,1,0
478,002100,3880,5,1,0
481,001981,3427,1,1,0
511,002259,4560,1,1,0
522,002224,2205448,10,1,0
537,146734,4552,6,1,1
537,146734,1105032,6,1,1
540,002176,4080,1,1,0
544,014822,4078,2,1,0
559,002270,3389806,6,1,0
569,024184,18326,6,1,0
579,008060,22092,1,1,0
589,002005,253576,1,1,0
592,002034,3548,1,1,0
595,002282,4715,1,1,0
603,002295,4768,1,1,0
606,001998,3503,1,1,0
614,002342,4901,1,1,0
644,002390,5086,1,1,0
655,002220,4311,1,1,0
665,002402,19685,2,1,0
674,001951,5242,2,1,0
676,002080,3652,1,1,0
677,002073,3640,8,0,1
677,022671,1716439,1,1,1
678,002497,19778,1,1,0
682,018738,28834,1,1,0
708,008839,25457,10,1,0
710,002519,5386,6,1,0
714,001982,3428,1,1,0
727,002596,5472,1,1,0
737,064275,5507,1,1,0
755,002802,5963,1,1,0
769,002644,5587,9,1,0
779,003238,7431,1,1,0
780,002849,7518,3,1,1
780,002849,1713265,6,0,1
781,013041,29817,1,1,0
787,002537,6110,2,1,0
796,003555,8051,1,1,0
797,013463,7782,6,1,0
806,003407,29997,3,1,0
807,003371,7633,10,1,0
840,003643,8414,1,1,0
841,002620,31756,1,1,1
841,002620,1226405,6,0,1
845,003669,14953,10,1,0
857,002547,6837,6,1,0
865,002919,6457,10,1,0
871,002953,6558,1,1,0
876,005569,490,1,1,0
887,012713,584,6,1,1
887,012713,2179515,6,1,1
892,002986,6612,1,1,0
894,002938,6506,1,1,0
895,003365,7577,6,1,0
899,002950,6544,1,1,0
900,003024,6774,3,1,0
902,003031,6785,1,1,1
902,003031,2225139,6,0,1
904,002942,5676,1,1,0
912,014824,6863,1,1,0
913,016775,6952,1,1,0
915,003159,2058933,10,1,0
925,135484,6942,3,1,1
925,135484,3390360,6,0,1
927,014157,21016,9,1,0
947,002631,5561,8,1,0
952,003093,7008,1,1,0
962,003226,7387,3,1,0
974,003288,7540,6,1,0
975,001533,1896,1,1,0
978,003218,7378,1,1,0
984,003367,7611,6,1,0
990,002836,2043,10,1,0
991,016769,6730,1,1,0
1003,003399,7691,1,1,0
1015,002710,7753,1,1,0
1019,003134,11543,6,1,0
1030,003156,7255,3,1,0
1033,003157,7262,1,1,0
1035,003138,259416,1,1,0
1038,003178,7313,1,1,0
1063,003520,7876,10,1,0
1071,003153,7223,1,1,0
1072,003562,8062,1,1,0
1077,002561,8082,2,1,0
1092,003333,2643,1,1,0
1097,002870,6312,2,1,0
1100,003581,8117,1,1,0
1103,003026,6779,1,1,0
1109,003594,8219,1,1,0
1114,002589,14527,6,1,0
1119,016747,6368,1,1,0
1131,003556,8059,1,1,0
1155,003656,8439,10,1,0
1167,020029,5745,1,1,0
1177,003429,7720,2,1,0
1186,003342,7588,1,1,0
1189,002873,32036,10,1,0
1191,003394,7682,1,1,0
1194,003082,6975,1,1,0
1206,002820,564361,3,1,0
1221,003265,7145,2,1,0
1222,002628,5549,1,1,0
1225,003569,11543,10,1,0
1230,003682,33706,9,1,1
1230,004913,33706,9,1,1
1239,003761,8717,1,1,0
1260,004052,9546,3,1,0
1261,003231,7401,1,1,0
1262,003825,3641135,10,1,0
1263,003937,9306,3,1,1
1263,003937,3202370,6,0,1
1271,003833,8872,3,1,0
1277,012730,2200582,6,1,0
1280,003821,29462,5,1,0
1283,003839,8908,5,1,0
1285,003863,8991,1,1,0
1298,013311,9095,1,1,0
1300,003908,9112,6,1,0
1303,003855,8973,1,1,0
1308,003691,23530,6,0,1
1308,003691,3350556,2,1,1
1319,003978,9354,5,1,0
1344,004036,9503,2,1,0
1354,004016,9470,1,1,1
1354,004016,1605214,3,0,1
1355,004015,1216575,9,1,0
1356,012202,5104,10,1,0
1364,004051,1226233,6,1,0
1366,004062,9560,1,1,0
1367,004066,23113,1,1,0
1376,004127,9821,1,1,0
1378,004071,48638,10,1,0
1383,020134,13904,1,1,0
1387,003918,9651,3,1,0
1391,004077,9621,1,1,0
1392,004078,550763,3,1,0
1393,003786,8752,1,1,0
1404,003872,15297,6,1,0
1409,032014,8750,1,1,0
1411,003895,9064,6,1,0
1417,004090,9714,6,1,0
1418,004091,9716,1,1,0
1425,004108,12153,1,1,0
1426,003842,9781,6,1,0
1433,003806,30541,3,1,0
1440,004128,7199,1,1,0
1451,004201,9963,1,1,0
1467,004213,10036,1,1,0
1477,004225,10148,1,1,0
1484,004166,1204564,6,1,0
1497,004254,790926,9,1,0
1506,004279,10593,2,1,0
1507,004241,10267,1,1,0
1510,004273,10350,1,1,0
1513,004275,10377,1,1,0
1519,004322,10536,1,1,0
1523,004340,10597,1,1,0
1539,004352,10661,3,1,0
1543,004367,3401719,3,1,0
1545,106418,11769,3,1,0
1557,004418,10841,1,1,0
1582,004448,10992,1,1,0
1583,004467,11277,1,1,0
1588,004156,29627,1,1,0
1606,004477,7812,1,1,0
1610,004485,8822,1,1,0
1620,004674,550049,1,1,0
1629,012796,122367,1,1,1
1629,012796,1645838,5,0,1
1629,012796,3401982,6,0,1
1632,004579,11577,2,1,0
1636,004679,122367,9,1,0
1645,004723,31946,2,1,0
1658,004685,31417,1,1,0
1682,016629,1357,1,1,0
1685,004598,11664,1,1,0
1686,004900,12515,1,1,0
1688,004881,12453,1,1,0
1689,004699,19327,2,1,0
1693,004918,12578,2,1,0
1696,016835,114,10,1,0
1714,004849,3659640,10,1,0
1717,004707,123,6,1,0
1718,004708,2503084,9,1,0
1724,004905,12535,9,1,0
1735,004613,11661,9,1,0
1741,004640,324,1,1,0
1750,014674,1194493,6,1,0
1768,004771,12099,1,1,0
1783,004632,887375,1,1,0
1788,004723,31946,5,1,0
1807,004844,12277,4,1,0
1810,062262,734030,1,1,0
1820,004801,12132,1,1,0
1824,004903,12533,1,1,0
1830,016878,12507,3,1,0
1852,004860,12373,2,1,0
1856,004737,233,1,1,0
1868,004926,12641,2,1,0
1869,004739,33003,2,1,0
1892,004990,12818,1,1,0
1908,005284,13794,1,1,0
1910,005036,12973,10,1,0
1916,005045,12983,5,1,0
1928,005020,13028,1,1,0
1932,177206,13132,1,1,0
1933,012708,13129,3,1,0
1940,016668,2622,1,1,0
1957,005379,14109,3,1,0
1959,004936,12699,2,1,0
1964,005210,13528,1,1,0
2001,005330,13857,1,1,0
2002,005252,13715,1,1,0
2004,005254,13720,1,1,0
2012,005340,13903,1,1,1
2012,005340,895084,6,0,1
2017,005357,13983,3,1,0
2026,018439,207,3,1,0
2056,005215,33451,6,1,0
2072,005395,14144,3,1,0
2075,024021,14181,1,1,0
2085,005485,6893,10,1,0
2088,005520,645861,1,1,0
2089,005523,14427,1,1,0
2093,005786,15235,1,1,0
2105,005543,14484,1,1,0
2111,005422,565662,1,1,0
2114,005404,14567,3,1,0
2116,005572,14588,1,1,0
2119,005578,14599,1,1,0
2130,005608,14728,1,1,0
2141,005619,14740,1,1,0
2183,005475,14333,1,1,0
2191,005690,15023,2,1,0
2208,005479,2063,5,1,0
2209,005594,14698,1,1,0
2227,005671,24485,3,1,1
2227,005671,2449527,3,1,1
2231,005417,15185,1,1,0
2232,005774,15192,1,1,0
2235,005788,15241,2,1,0
2238,005530,14441,1,1,0
2249,005702,15055,9,1,0
2250,006053,16489,1,1,0
2253,014253,33327,1,1,0
2258,023871,621136,10,1,0
2267,005826,15439,2,1,0
2282,005932,15507,5,1,0
2286,006019,1005562,6,1,0
2292,005835,18841,6,1,0
2293,005888,15541,3,1,0
2328,009939,28808,6,1,0
2333,005892,1226070,6,1,0
2343,017160,7992,3,1,0
2356,006036,16348,1,1,0
2360,006039,16369,2,1,0
2364,006115,16581,3,1,0
2366,005978,16156,1,1,0
2367,006008,16239,1,1,0
2369,006020,16278,2,1,0
2379,006167,3640411,10,1,0
2381,006135,10607,1,1,0
2391,006110,605767,1,1,0
2405,005999,15783,10,1,0
2426,006213,821080,1,1,0
2427,006215,17250,1,1,0
2440,014173,885586,9,1,0
2456,006207,17448,2,1,0
2482,006223,10503,6,1,0
2488,006326,17666,1,1,0
2498,006433,17910,1,1,0
2502,006333,17687,2,1,0
2510,006362,17761,1,1,0
2519,006379,17781,1,1,0
2520,011778,31835,9,1,0
2527,006410,17848,1,1,0
2535,009783,17862,2,1,0
2544,003005,6647,9,1,0
2545,019129,14211,6,0,1
2545,019129,1646940,1,1,1
2547,006396,17817,6,1,0
2551,006304,17984,2,1,0
2552,006509,18229,2,1,0
2559,006471,18020,6,1,0
2572,118267,18139,1,1,0
2573,006497,18151,1,1,0
2576,006414,1080048,10,1,0
2577,006311,25061,1,1,0
2584,006314,17625,2,1,0
2589,006315,18255,3,1,0
2600,006573,18410,1,1,0
2602,006584,18411,10,1,0
2612,006617,18536,1,1,0
2614,006619,18541,3,1,0
2615,006543,18544,2,1,0
2636,006649,18648,1,1,0
2641,006694,12129,5,1,0
2645,006803,19141,1,1,0
2648,006736,1654280,9,1,0
2655,002032,18804,10,1,0
2664,006733,18892,1,1,0
2678,006768,19014,2,1,0
2689,006574,18411,1,1,0
2704,006785,815818,10,1,0
2706,006788,25756,1,1,0
2709,006829,19193,2,1,0
2715,006674,18615,10,1,0
2728,006831,19244,1,1,0
2730,006839,8512,1,1,0
2736,006845,19308,1,1,0
2743,006908,19363,1,1,0
2766,006998,19588,9,1,0
2767,006994,19580,1,1,0
2774,007039,5229,10,1,0
2777,007066,19714,1,1,0
2784,007117,19831,1,1,0
2785,007121,19851,1,1,0
2794,066404,10677,1,1,0
2801,007146,19939,1,1,0
2809,007185,855614,1,1,0
2825,007179,19986,6,1,0
2829,007331,20597,1,1,0
2847,006932,468832,2,1,0
2849,007232,20198,6,1,0
2850,007228,20186,3,1,0
2881,007291,20423,1,1,0
2902,001013,763,2,1,0
2903,009042,20027,10,1,0
2913,007315,27911,1,1,0
2915,007327,20597,10,1,0
2925,007409,20727,1,1,0
2930,007421,20719,10,1,0
2936,007561,29483,1,1,0
2943,007389,20683,6,1,0
2949,007401,20721,1,1,0
2951,007402,20719,9,1,0
2964,007176,19977,9,1,0
2968,007238,20229,1,1,0
2971,007420,20749,2,1,0
2978,007422,11364,5,1,1
2978,007422,2751264,6,0,1
2983,007250,20253,2,1,0
2985,007481,20936,2,1,0
2991,007506,20972,1,1,0
2994,019054,21015,1,1,0
3004,007566,26700,1,1,0
3021,030241,19431,1,1,0
3023,007281,20389,1,1,0
3029,007253,20271,1,1,0
3031,007022,19630,1,1,0
3039,007575,1214665,6,1,0
3042,007067,19715,3,0,1
3042,007067,1012788,1,1,1
3047,007346,20600,1,1,0
3048,007368,20638,1,1,0
3074,007183,20024,4,0,1
3074,007183,3373197,1,1,1
3080,007295,9662,6,1,0
3083,006900,21270,2,1,0
3087,007602,483010,6,1,0
3091,007632,16352,1,1,0
3102,007636,21423,1,1,0
3104,007637,3299324,6,1,0
3111,012744,1703782,5,1,0
3121,007695,21455,10,1,0
3128,007700,870842,9,1,0
3131,007969,22486,10,1,0
3133,033114,21450,1,1,0
3139,007828,21955,1,1,0
3143,013054,21585,1,1,0
3151,007647,4504,1,1,0
3157,007711,21537,1,1,0
3160,007921,22404,1,1,0
3161,007723,21717,1,1,0
3164,007835,21966,6,1,0
3178,007875,22048,1,1,0
3179,007883,22073,1,1,0
3187,007841,8216,6,1,0
3194,007906,22209,1,1,0
3200,007849,21989,2,1,0
3205,007746,750379,9,1,0
3213,007662,2514597,1,1,0
3217,007922,22406,1,1,0
3218,007911,22311,1,1,0
3219,007912,22312,1,1,0
3225,007920,22368,6,1,0
3236,007759,13657,2,1,0
3251,007768,3809326,10,1,0
3256,007976,22506,9,1,0
3262,017072,21558,1,1,0
3275,007982,22509,1,1,0
3276,007781,21638,1,1,0
3280,008031,7151,6,1,0
3294,008040,22730,10,1,0
3302,007991,30442,2,1,0
3305,017073,21642,1,1,0
3306,007993,22667,1,1,0
3309,008001,22537,1,1,0
3311,007995,1145828,6,1,0
3318,008065,1216538,6,1,0
3321,008213,23505,1,1,0
3324,014827,22989,1,1,0
3326,008079,22915,1,1,0
3327,008080,22917,5,1,0
3333,008087,17126,1,1,0
3334,010894,32094,2,1,0
3347,008047,668099,2,1,0
3348,008105,23015,1,1,0
3363,014828,23052,1,1,0
3366,008109,23021,1,1,0
3369,008119,23049,8,1,0
3370,008092,22972,4,1,1
3370,008092,1929148,6,0,1
3379,008133,23111,1,1,0
3392,008162,23256,1,1,0
3396,008176,23324,1,1,0
3407,008055,1193021,6,1,0
3418,008199,23477,1,1,0
3423,008222,532515,9,1,0
3435,008266,21940,1,1,0
3443,008293,23940,1,1,0
3457,008336,23772,6,1,0
3466,008386,23912,1,1,0
3487,008253,23563,1,1,0
3499,008717,24926,1,1,0
3500,008826,25422,1,1,0
3505,008357,23833,3,1,0
3508,008725,24958,9,1,0
3526,008512,24266,2,1,0
3548,008515,895413,3,1,0
3549,008240,37820,2,1,0
3553,161810,641018,8,1,0
3580,008599,491487,1,1,0
3583,008245,24669,6,1,0
3588,008350,23824,1,1,0
3589,008363,23843,3,1,0
3597,014820,24987,1,1,0
3599,008341,23784,1,1,0
3610,008423,1104216,2,1,0
3622,008463,24106,3,1,0
3624,015417,5204,1,1,0
3625,008655,24685,1,1,0
3637,008687,24806,1,1,0
3641,005149,13213,1,1,0
3642,008699,24848,1,1,0
3649,008716,24909,1,1,0
3656,008681,24781,9,1,0
3658,013075,25314,6,1,0
3659,008582,27595,1,1,0
3682,013341,25199,1,1,0
3684,008789,25287,1,1,1
3684,008789,2213427,6,0,1
3685,008245,24669,2,1,0
3719,008759,25096,1,1,0
3720,008787,2496,3,1,0
3730,008440,24077,3,1,0
3737,028788,25459,3,1,0
3741,008850,25523,1,1,0
3744,008872,884,1,1,0
3757,008881,25619,1,1,0
3771,019605,25745,1,1,0
3772,008947,32158,1,1,0
3781,008958,25801,1,1,0
3784,008969,25801,10,1,0
3809,009048,26001,9,1,0
3814,009715,29779,1,1,0
3818,009013,25932,1,1,0
3830,009170,26364,6,1,0
3835,009112,26178,1,1,0
3837,009022,1006457,10,1,0
3840,009016,25944,1,1,0
3849,009142,26271,6,1,0
3860,013342,26342,2,1,0
3867,009208,26477,6,1,0
3877,008941,1144619,10,1,0
3878,009173,26368,1,1,0
3895,009235,26544,9,1,0
3901,009256,1746473,3,1,0
3902,009259,26602,3,1,0
3911,008902,26668,2,1,0
3914,009273,26634,1,1,0
3924,009240,33206,6,1,0
3954,009302,26746,1,1,0
3960,009403,467550,6,1,0
3962,009351,26819,1,1,0
3968,009555,27418,3,1,0
3987,009880,28693,1,1,0
3990,009686,27886,5,1,0
4006,009489,31198,6,1,0
4010,009490,27313,6,1,0
4032,009552,18586,5,1,0
4040,009317,27515,2,1,0
4062,009774,28311,3,1,0
4069,009319,11429,5,1,0
4096,009472,27279,2,1,0
4108,009699,27939,1,1,0
4111,009323,23780,3,1,1
4111,009323,1384407,6,0,1
4114,009719,27984,1,1,0
4115,009722,1884307,10,1,0
4119,009748,10317,6,1,0
4120,010086,29233,1,1,0
4128,014201,7318,3,1,0
4138,009521,27356,6,1,0
4147,009613,27668,1,1,1
4147,009613,947898,6,0,1
4148,010232,29776,1,1,0
4152,009841,27571,1,1,0
4161,009999,29149,1,1,0
4162,009778,28335,1,1,0
4163,011856,3718,1,1,0
4165,010187,29586,6,1,0
4178,009812,28565,1,1,0
4181,009882,28696,1,1,0
4183,009783,17862,6,1,0
4187,009786,28453,6,1,0
4196,009815,28581,1,1,0
4202,009835,24502,3,1,0
4211,009937,28806,1,1,0
4217,009330,28863,6,0,1
4217,009330,2068654,1,1,1
4227,009921,28775,1,1,0
4230,010005,29056,3,1,0
4234,017115,27549,1,1,0
4238,009614,19054,5,1,0
4246,009728,1670206,1,1,0
4252,010085,29234,1,1,0
4254,010097,29324,1,1,0
4255,003424,29151,1,1,0
4260,010035,29131,1,1,0
4262,008073,22905,1,1,0
4265,009993,29044,6,1,0
4267,009997,2334,10,1,0
4275,010013,10680,3,1,0
4278,009372,28985,1,1,0
4282,010089,29285,7,1,0
4289,010096,25380,1,1,0
4293,062689,28991,6,0,1
4293,062689,469152,2,1,1
4295,010124,29416,1,1,0
4298,010115,29405,1,1,0
4334,011531,2366,1,1,0
4338,009904,29260,1,1,0
4340,010221,29722,3,0,1
4340,010221,2654473,1,1,1
4342,009890,28702,1,1,0
4350,009849,1938,1,1,0
4373,010331,4774,3,1,0
4375,010441,30419,1,1,0
4381,010349,30032,1,1,0
4388,032280,1725368,6,1,0
4401,010532,30623,6,1,0
4402,010353,30087,1,1,0
4409,010386,30185,1,1,0
4450,010567,28158,3,1,1
4450,010567,1648593,3,1,1
4451,010569,30723,8,1,0
4452,010286,30729,1,1,0
4456,010305,31438,2,1,0
4467,010420,30349,1,1,0
4492,007809,21744,2,1,0
4494,010380,29558,1,1,0
4516,010618,30955,1,1,0
4522,010639,31063,1,1,0
4538,010297,31238,2,1,0
4547,170773,1799834,1,1,0
4552,010656,31159,6,1,0
4557,010530,30616,1,1,0
4560,010685,31168,1,1,0
4561,010686,31176,6,1,0
4587,010550,30664,1,1,0
4589,024783,30482,1,1,0
4599,010310,31530,3,1,0
4600,010509,1224010,6,1,0
4604,010777,31540,1,1,0
4609,004496,11404,3,1,0
4611,010515,30481,10,1,0
4620,010793,31563,1,1,0
4643,017252,32105,1,1,0
